id,climate,energy,environment,resources,sustainability,dedicated
1920Z,0,0,0,0,0,0
354GG,0,0,0,0,0,0
058EE,0,0,0,0,0,0
242GG,0,0,0,0,0,0
359GG,0,0,0,0,0,0
125GG,0,0,0,0,0,0
105GG,0,0,0,0,0,0
126GG,0,0,0,0,0,0
182GG,0,0,0,0,0,0
404GG,0,0,0,0,0,0
407GG,0,0,0,0,0,0
1915Z,0,0,0,0,0,0
405GG,0,0,0,0,0,0
117GG,0,0,0,0,0,0
244GG,0,0,0,0,0,0
1921Z,0,0,0,0,0,0
1916Z,0,0,0,0,0,0
014BB,0,0,0,0,0,0
1917Z,0,0,0,0,0,0
111GG,0,0,0,0,0,0
358GG,0,0,0,0,0,0
121GG,0,0,0,0,0,0
1923Z,0,0,0,0,0,0
114GG,0,0,0,0,0,0
097ZW,0,0,0,0,0,0
399GG,0,0,0,0,0,0
245GG,0,0,0,0,0,0
406GG,0,0,0,0,0,0
096ZW,0,0,0,0,0,0
352GG,0,0,0,0,0,0
118GG,0,0,0,0,0,0
353GG,0,0,0,0,0,0
403GG,0,0,0,0,0,0
243GG,0,0,0,0,0,0
134ZW,0,0,0,0,0,0
396GG,0,0,0,0,0,0
104GG,0,0,0,0,0,0
147DD,0,0,0,0,0,0
257DD,0,0,0,0,0,0
137DD,0,0,0,0,0,0
173DD,0,0,0,0,0,0
064DD,0,0,0,0,0,0
183DD,0,0,0,0,0,0
134HH,0,0,0,0,0,0
159GG,0,0,0,0,0,0
344BB,0,0,0,0,0,0
139DD,0,0,0,0,0,0
241DD,0,0,0,0,0,0
269HH,0,0,0,0,0,0
192DD,0,0,0,0,0,0
052DD,0,0,0,0,0,0
070DD,0,0,0,0,0,0
2066Z,0,0,0,0,0,0
253DD,0,0,0,0,0,0
138DD,0,0,0,0,0,0
049DD,0,0,0,0,0,0
181DD,0,0,0,0,0,0
063DD,0,0,0,0,0,0
238DD,0,0,0,0,0,0
060DD,0,0,0,0,0,0
239DD,0,0,0,0,0,0
265DD,0,0,0,0,0,0
189DD,0,0,0,0,0,0
240DD,0,0,0,0,0,0
242DD,0,0,0,0,0,0
087DD,0,0,0,0,0,0
131DD,0,0,0,0,0,0
066DD,0,0,0,0,0,0
182DD,0,0,0,0,0,0
539AA,0,0,0,0,0,0
258DD,0,0,0,0,0,0
134DD,0,0,0,0,0,0
254DD,0,0,0,0,0,0
155DD,0,0,0,0,0,0
256DD,0,0,0,0,0,0
252DD,0,0,0,0,0,0
058DD,0,0,0,0,0,0
037DD,0,0,0,0,0,0
043DD,0,0,0,0,0,0
251DD,0,0,0,0,0,0
166HH,0,0,0,0,0,0
061DD,0,0,0,0,0,0
266DD,0,0,0,0,0,0
042DD,0,0,0,0,0,0
040DD,0,0,0,0,0,0
159II,0,0,0,0,0,0
191DD,0,0,0,0,0,0
255DD,0,0,0,0,0,0
036DD,0,0,0,0,0,0
569AA,0,0,0,0,0,0
235DD,0,0,0,0,0,0
305AA,0,0,0,0,0,0
300AA,0,0,0,0,0,0
