id,climate,energy,environment,resources,sustainability,dedicated
507874,0,0,0,0,0,0
511797,0,0,0,0,0,0
514088,0,0,0,0,0,0
507587,0,0,0,0,0,0
507588,0,0,0,0,0,0
507589,0,0,0,0,0,0
507590,0,0,0,0,0,0
508934,0,0,0,0,0,0
507591,0,0,0,0,0,0
507592,0,0,0,0,0,0
507593,0,0,0,0,0,0
507594,0,0,0,0,0,0
507595,0,0,0,0,0,0
511795,0,0,0,0,0,0
508441,0,0,0,0,0,0
513724,0,0,0,0,0,0
507597,0,0,0,0,0,0
507598,0,0,0,0,0,0
507599,0,0,0,0,0,0
507600,0,0,0,0,0,0
507601,0,0,0,0,0,0
514140,0,0,0,0,0,0
507603,0,0,0,0,0,0
507604,0,0,0,0,0,0
507605,0,0,0,0,0,0
511796,0,0,0,0,0,0
511128,0,0,0,0,0,0
508933,0,0,0,0,0,0
508442,0,0,0,0,0,0
507606,0,0,0,0,0,0
508020,0,0,0,0,0,0
509992,0,0,0,0,0,0
505894,0,0,0,0,0,0
505903,0,0,0,0,0,0
505897,0,0,0,0,0,0
505898,0,0,0,0,0,0
507168,0,0,0,0,0,0
510085,0,0,0,0,0,0
512151,0,0,0,0,0,0
512152,0,0,0,0,0,0
515114,0,0,0,0,0,0
505907,0,0,0,0,0,0
508019,0,0,0,0,0,0
512164,0,0,0,0,0,0
505909,0,0,0,0,0,0
505892,0,0,0,0,0,0
505893,0,0,0,0,0,0
505906,0,0,0,0,0,0
505905,0,0,0,0,0,0
512166,0,0,0,0,0,0
505915,0,0,0,0,0,0
515445,0,0,0,0,0,0
515447,0,0,0,0,0,0
515444,0,0,0,0,0,0
515446,0,0,0,0,0,0
515443,0,0,0,0,0,0
505908,0,0,0,0,0,0
512170,0,0,0,0,0,0
505917,0,0,0,0,0,0
512168,0,0,0,0,0,0
505902,0,0,0,0,0,0
505899,0,0,0,0,0,0
505901,0,0,0,0,0,0
505756,0,0,0,0,0,0
515207,0,0,0,0,0,0
512090,0,0,0,0,0,0
515206,0,0,0,0,0,0
508767,0,0,0,0,0,0
505757,0,0,0,0,0,0
505761,0,0,0,0,0,0
515189,0,0,0,0,0,0
515190,0,0,0,0,0,0
507092,0,0,0,0,0,0
511132,0,0,0,0,0,0
511133,0,0,0,0,0,0
514482,0,0,0,0,0,0
511809,0,0,0,0,0,0
512096,0,0,0,0,0,0
515191,0,0,0,0,0,0
511812,0,0,0,0,0,0
514483,0,0,0,0,0,0
512337,0,0,0,0,0,0
509514,0,0,0,0,0,0
505759,0,0,0,0,0,0
505770,0,0,0,0,0,0
513330,0,0,0,0,0,0
505771,0,0,0,0,0,0
507095,0,0,0,0,0,0
507093,0,0,0,0,0,0
513368,0,0,0,0,0,0
509826,0,0,0,0,0,0
505768,0,0,0,0,0,0
505772,0,0,0,0,0,0
508806,0,0,0,0,0,0
505921,0,0,0,0,0,0
507905,0,0,0,0,0,0
505923,0,0,0,0,0,0
509048,0,0,0,0,0,0
512172,0,0,0,0,0,0
512153,0,0,0,0,0,0
