id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
607079,0,0,0,0,0,0,0,0,0,0,0,0,0
607080,0,0,0,0,0,0,0,0,0,0,0,0,0
607081,0,0,0,0,0,0,0,0,0,0,0,0,0
607082,0,0,0,0,0,0,0,0,0,0,0,0,0
607083,0,0,0,0,0,0,0,0,0,0,0,0,0
607084,0,0,0,0,0,0,0,0,0,0,0,0,0
607085,0,0,0,0,0,0,0,0,0,0,0,0,0
607088,0,0,0,0,0,0,0,0,0,0,0,0,0
607091,0,0,0,0,0,0,0,0,0,0,0,0,0
607294,0,0,0,0,0,0,0,0,0,0,0,0,0
607295,0,0,0,0,0,0,0,0,0,0,0,0,0
607296,0,0,0,0,0,0,0,0,0,0,0,0,0
607297,0,0,0,0,0,0,0,0,0,0,0,0,0
607300,0,0,0,0,0,0,0,0,0,0,0,0,0
607303,0,0,0,0,0,0,0,0,0,0,0,0,0
607306,0,0,0,0,0,0,0,0,0,0,0,0,0
607309,0,0,0,0,0,0,0,0,0,0,0,0,0
607312,0,0,0,0,0,0,0,0,0,0,0,0,0
607315,0,0,0,0,0,0,0,0,0,0,0,0,0
607318,0,0,0,0,0,0,0,0,0,0,0,0,0
607321,0,0,0,0,0,0,0,0,0,0,0,0,0
607325,0,0,0,0,0,0,0,0,0,0,0,0,0
607328,0,0,0,0,0,0,0,0,0,0,0,0,0
607329,0,0,0,0,0,0,0,0,0,0,0,0,0
607330,0,0,0,0,0,0,0,0,0,0,0,0,0
607331,0,0,0,0,0,0,0,0,0,0,0,0,0
607332,0,0,0,0,0,0,0,0,0,0,0,0,0
607333,0,0,0,0,0,0,0,0,0,0,0,0,0
607334,0,0,0,0,0,0,0,0,0,0,0,0,0
607335,0,0,0,0,0,0,0,0,0,0,0,0,0
607336,0,0,0,0,0,0,0,0,0,0,0,0,0
607337,0,0,0,0,0,0,0,0,0,0,0,0,0
607338,0,0,0,0,0,0,0,0,0,0,0,0,0
607339,0,0,0,0,0,0,0,0,0,0,0,0,0
607340,0,0,0,0,0,0,0,0,0,0,0,0,0
607341,0,0,0,0,0,0,0,0,0,0,0,0,0
607342,0,0,0,0,0,0,0,0,0,0,0,0,0
607343,0,0,0,1,1,0,0,0,1,1,0,0,0
607344,0,0,0,0,0,0,0,0,0,0,0,0,0
607345,0,0,0,0,0,0,0,0,0,0,0,0,0
607348,0,0,0,0,0,0,0,0,0,0,0,0,0
607349,0,0,0,0,0,0,0,0,0,0,0,0,0
