id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
050426,0,0,0,0,0,0,0,0,0,0,0,0,0
050448,0,0,0,0,0,0,0,0,0,0,0,0,0
050502,0,0,0,0,0,0,0,0,0,0,0,0,0
050503,0,0,0,0,0,0,0,0,0,0,0,0,0
050504,0,0,0,0,0,0,0,0,0,0,0,0,0
050566,0,0,0,0,0,0,0,0,0,0,0,0,0
050693,0,0,1,0,0,0,0,1,0,0,0,0,0
050799,0,0,0,0,0,0,0,0,0,0,0,0,0
050869,0,0,0,0,0,0,0,0,0,0,0,0,0
050870,0,0,0,0,0,0,0,0,0,0,1,0,0
050918,0,0,0,0,0,0,0,0,0,0,0,0,0
051105,0,0,0,0,0,0,0,1,0,0,0,0,0
051107,0,0,0,0,0,0,0,0,0,0,0,0,0
051108,0,0,0,0,0,0,0,0,0,0,0,0,0
051109,0,0,0,0,0,0,0,0,0,0,0,0,0
051110,0,0,0,0,0,0,0,0,0,0,0,0,0
051113,0,0,0,0,1,0,0,0,0,0,0,0,1
051117,0,0,0,0,0,0,0,0,0,0,0,0,0
051118,0,0,0,0,0,0,0,0,0,0,0,0,0
051122,0,0,0,0,0,0,0,0,0,0,1,0,0
051124,0,0,0,0,0,0,0,0,0,0,0,0,0
051130,0,0,0,0,0,0,0,0,0,0,0,0,0
051131,0,0,0,0,0,0,0,0,0,0,0,0,0
051132,0,0,0,0,0,0,0,0,0,0,0,0,0
051137,0,0,0,0,0,0,0,0,0,0,0,0,0
051139,0,0,0,0,0,0,0,0,0,0,0,0,0
051140,0,0,0,0,0,0,0,1,0,0,0,0,0
051141,0,0,0,0,0,0,0,0,0,0,0,0,0
051148,0,0,0,0,0,0,0,0,0,0,0,0,0
051151,0,0,0,0,0,0,0,0,0,0,0,0,0
051172,0,0,0,0,0,0,0,0,0,0,0,0,0
051175,0,0,0,0,0,0,0,0,0,0,0,0,0
051178,0,0,0,0,0,0,0,0,0,0,0,0,0
051179,0,0,0,0,0,0,0,0,0,0,0,1,0
051180,0,0,0,0,0,0,0,0,0,0,0,0,0
051182,0,0,0,0,0,0,0,0,0,0,0,0,0
051184,1,0,1,0,1,0,0,1,1,0,0,0,1
051186,0,0,0,0,0,0,0,0,0,0,0,0,0
051189,1,0,0,0,0,0,0,0,0,0,0,0,1
051191,0,0,0,0,0,0,0,0,0,0,0,0,0
051218,0,0,0,0,0,0,0,0,0,0,0,0,0
051223,0,0,0,0,0,0,0,0,0,0,0,0,0
051224,0,0,0,0,0,0,0,0,0,0,0,0,0
051234,0,0,0,0,0,0,0,0,0,0,0,0,0
051249,0,0,0,1,1,0,0,1,0,0,1,0,1
051250,0,0,0,0,0,0,0,0,0,0,1,0,0
051268,0,0,0,0,0,0,0,0,0,0,0,0,0
051278,0,0,0,0,0,0,0,0,0,0,0,0,0
051279,0,0,0,0,0,0,0,0,0,0,0,0,0
051289,0,0,0,0,0,0,0,0,0,0,0,0,0
051304,0,0,1,0,0,0,0,1,0,0,0,0,0
051310,0,0,0,0,0,0,0,0,0,0,0,0,0
051335,0,0,0,0,0,0,0,0,0,0,0,0,0
051336,0,0,0,0,0,0,0,0,0,0,0,0,0
051345,0,0,0,0,0,0,0,0,0,0,0,0,0
051350,0,0,0,0,0,0,0,0,0,0,0,0,0
051360,0,0,0,0,0,0,0,0,0,0,0,0,0
051381,0,0,0,0,0,0,0,0,0,0,0,0,0
051412,0,0,0,0,0,0,0,0,0,0,0,0,0
051425,0,0,0,0,0,0,0,0,0,0,0,0,0
051426,0,0,0,0,1,0,0,0,1,1,1,0,0
051429,0,0,0,0,0,0,0,1,0,0,1,0,0
051438,1,0,0,0,1,0,0,0,0,1,1,0,0
