id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
22ACIMH,0,0,0,0,0,0,0,0,0,0,0,0,0
22ACILS,0,0,0,0,0,0,0,0,0,0,0,0,0
01MBDNW,0,0,0,0,0,0,0,0,0,0,0,0,0
03KXTLI,0,0,0,0,0,0,0,0,0,0,0,0,0
13EBHMU,0,0,0,0,0,0,0,0,0,0,0,0,0
02UTJMQ,0,0,0,0,0,0,0,0,0,0,0,0,0
02LSEOV,0,0,0,0,0,0,0,0,0,0,0,0,0
01RKFNE,0,0,0,0,0,0,0,0,0,0,0,0,0
06AWPMU,0,0,0,0,0,0,0,0,0,0,0,0,0
04KWQJM,0,0,0,0,0,0,0,0,0,0,0,0,0
01HGKND,0,0,0,0,0,0,0,0,0,0,0,0,0
01TYMUV,0,0,0,0,0,0,0,0,0,0,0,0,0
07CESPI,0,0,0,0,0,0,0,0,0,0,0,0,0
01UECMZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01VLAMX,0,0,0,0,0,0,0,0,0,0,0,0,0
01PZGTR,0,0,0,0,0,0,0,1,0,0,0,0,0
04KXVJM,0,0,0,0,0,0,0,0,0,0,0,0,0
03MIQQW,0,0,0,0,0,0,0,0,0,0,0,1,0
55CWHNL,0,0,0,0,0,0,0,0,0,0,0,0,0
09IHRMA,0,0,0,0,0,0,0,0,0,0,0,0,0
01UTUPW,0,0,0,0,0,0,0,0,0,0,0,0,0
03QFRBG,0,0,0,0,0,0,0,0,0,0,0,0,0
01TVOPF,0,0,0,0,0,0,0,0,0,0,0,0,0
02VLJMC,0,0,0,0,0,0,0,0,0,0,0,0,0
07LKILZ,0,0,0,0,0,0,0,0,0,0,0,0,0
16ACFNL,0,0,0,0,0,0,0,0,0,0,0,0,0
01VJFNE,0,0,0,0,0,0,0,0,0,0,0,0,0
01UEUOV,0,0,0,0,0,0,0,0,0,0,0,0,0
04PAYTE,0,0,0,0,0,0,0,0,0,0,0,0,0
