id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
8835,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8038,0,0,0,1,1,0,0,1,1,0,0,0,1,3
8408,0,0,2,0,0,0,0,2,1,0,1,0,2,2
0900,0,0,2,0,0,0,0,2,1,0,1,0,2,2
5913-C44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5913-000,0,0,0,0,0,0,0,1,0,0,0,0,1,1
9202-A59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9202-761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9203-A61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0905,0,0,1,0,0,0,0,0,1,0,0,0,0,1
9203-A59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8848-C32,0,0,1,0,0,0,0,1,0,0,0,0,0,2
8848-B69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8848-B68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9203-509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8847-A25,0,1,1,0,0,0,0,2,1,0,0,0,1,3
0897,0,0,1,1,0,0,0,0,0,0,0,0,1,2
5815,0,0,0,0,0,0,0,2,0,0,0,0,0,2
8965,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8847-000,0,0,0,1,0,0,0,2,0,0,0,0,2,3
5829-C11,0,0,2,0,0,0,0,2,1,0,1,0,2,2
5829-C10,0,0,2,0,0,0,0,2,1,0,1,0,2,2
8774,1,0,3,0,0,0,0,4,1,0,1,0,3,5
5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8842-A03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8842-A02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8842-A01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0990,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0991,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5728,0,0,0,0,1,0,0,9,1,1,0,1,1,9
5915,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9079,0,0,0,0,0,0,0,2,2,0,0,0,0,3
8487,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8617,0,0,0,0,1,0,0,19,0,1,0,0,2,21
8878,0,0,1,0,0,1,0,4,2,0,0,0,4,7
8484,0,0,0,0,0,0,0,1,1,0,0,0,0,2
8479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8488,0,0,2,0,0,0,0,3,2,0,2,0,2,3
9201,0,0,0,0,0,0,0,3,0,0,0,0,0,3
5906,0,0,0,0,0,1,0,1,0,0,0,0,0,2
5904,0,0,3,0,0,1,0,1,0,0,0,0,0,5
5905,0,0,0,0,0,1,0,1,0,0,0,0,0,2
9081,0,0,2,0,0,0,0,2,2,0,1,0,2,3
9080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475,0,0,0,0,0,0,0,1,1,0,0,0,0,2
5908,0,0,0,0,0,0,0,2,1,0,0,0,0,3
9210,0,0,4,0,0,0,0,5,3,0,2,0,4,7
5907,0,0,0,0,0,0,0,1,1,0,0,0,0,2
8481,0,0,0,0,0,0,0,4,0,0,0,0,0,4
0989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8476,0,0,0,0,0,0,0,1,1,0,0,0,0,2
8477,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5814,0,1,0,4,1,2,0,5,1,2,1,0,5,7
8834,0,0,1,0,1,1,0,10,3,0,0,0,0,12
8522,0,0,2,0,0,0,0,9,4,0,1,0,3,11
9205,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9174-C09,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5817,1,0,0,0,1,0,0,1,0,0,0,0,0,2
5816-C54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5816-C28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9174-C08,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9249-B31,0,0,2,0,2,0,0,5,0,0,1,0,2,6
9249-B30,0,0,2,0,7,0,0,8,3,1,1,1,5,11
9249-B29,0,0,3,0,5,0,0,7,2,0,1,1,3,10
5818-C57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5818-C28,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9198,0,0,2,2,5,0,0,10,10,0,3,1,8,13
5724-B83,0,0,1,1,0,0,0,0,3,0,0,2,0,5
8894-976,2,3,7,4,8,0,0,12,8,3,9,4,10,20
0949,0,0,0,0,0,0,0,2,2,0,0,1,1,4
0927,0,0,0,1,1,0,0,0,1,0,1,1,0,3
9254,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8894-975,1,0,2,2,1,0,0,13,9,3,2,1,7,18
5724-B82,0,0,0,1,0,0,0,0,0,0,0,1,0,2
5724-B81,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5724-914,0,0,0,1,1,0,0,0,1,0,0,0,0,3
5724-913,0,0,1,2,2,0,0,1,3,1,1,1,0,7
5724-912,0,0,1,2,0,0,0,2,3,1,1,3,0,6
5818-C27,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0925,0,0,0,3,1,0,0,0,0,0,0,1,1,5
0936,1,0,4,3,5,0,0,5,1,3,3,0,3,7
0935-C48,0,1,2,0,4,0,0,3,1,0,0,2,1,7
0924-B13,0,0,0,0,4,0,0,3,2,0,0,3,6,10
8770,0,0,1,0,0,0,0,2,1,0,0,0,2,2
9065-996,0,0,0,0,0,0,0,0,0,0,0,1,0,1
