id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
70/83-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/83-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/82,0,0,0,0,0,0,0,0,1,0,0,1,0,2
70/91,0,0,0,0,0,0,0,1,0,0,0,0,0,1
70/80-1,1,0,0,0,0,0,0,2,0,0,0,0,0,2
70/80-2,2,0,0,1,2,0,0,3,0,0,1,1,2,4
70/80-3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
70/80-4,1,0,0,0,0,0,0,1,0,0,0,0,0,1
70/80-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/88,0,1,0,0,2,0,0,2,0,0,0,0,2,3
70/95-1,0,0,0,0,2,0,0,7,5,1,1,1,7,11
70/95-2,1,0,0,0,2,0,0,7,5,1,1,1,6,11
70/95-3,0,0,0,0,3,0,0,6,6,1,1,1,7,12
70/90,0,0,0,0,1,0,0,0,0,0,0,1,0,1
80/72-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80/72-2,0,0,0,0,1,0,0,1,0,0,0,2,1,4
80/72-3,0,0,0,0,1,0,0,1,0,0,0,2,1,4
80/72-4,0,0,0,0,1,0,0,1,0,0,0,2,1,4
70/93,0,0,0,0,0,0,0,0,1,0,0,0,0,1
80/71,1,0,0,0,0,0,0,1,0,0,0,0,0,1
70/73,2,0,0,0,0,0,0,0,2,0,0,0,2,4
70/78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/94-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/94-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/94-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/72,1,0,0,0,0,0,0,0,0,0,0,0,0,1
70/77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/75-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/75-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/63,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40/49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/59,0,0,0,0,0,0,0,1,1,0,1,0,1,1
40/35,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40/43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/50,0,0,0,0,0,0,0,1,1,0,1,0,1,1
60/72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60/77-1,1,0,0,0,0,0,0,6,1,0,0,0,4,6
60/77-2,1,1,0,0,0,0,0,9,1,0,0,0,4,9
60/71-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60/71-2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
60/70,0,1,1,0,0,0,0,7,1,0,0,0,4,7
50/24,0,0,0,0,0,0,0,0,1,0,0,0,1,1
60/75,0,0,1,0,0,0,0,7,0,0,0,0,1,7
60/76-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60/76-2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
