patterns,themes
atmosfer,'[]'
biodivers[^ ]+,'[]'
biosfer,'[]'
econom[^ ]+ circolar,'[]'
clima[^ ]+,'[]'
ecolo[^ ]+,'[]'
ambient,'[]'
energ[^ ]+,'[]'
econom[^ ]+ rigenerativ ,'[]'
risorsa natural,'[]'
sostenibil,'[]'
transizion,'[]'
