patterns,themes
locale (?:cibo|agricoltura),['food']
(?:esauriment(?:o|i)|impoveriment(?:o|i)) (?:delle|degli) (?:risorse|stock) ittic,['food']
pesca sostenibile,['food']
permacultura,['food']
sovrapesca,['food']
"chimica (?:[^ ]+ ){0,4}verde",['prod&cons']
consum[^ ]+ sostenibil,['prod&cons']
progettazion(?:e|i) ecocompatibil,['prod&cons']
eco[- ]?concezione,['prod&cons']
eco[- ]?design,['prod&cons']
eco[- ]?responsab,['prod&cons']
eco[- ]?tec,['prod&cons']
effet(?:o|i) rimbalzo,['prod&cons']
ingegneri(?:a|e) (?:durevol|sostenibil),['prod&cons']
produ[^ ]+ sostenibil,['prod&cons']
tecnologi(?:a|e) verd,['prod&cons']
tecnologi(?:a|e) sostenibil,['prod&cons']
tecnologi(?:a|e) ambiental,['prod&cons']
(?:depurazion(?:e|i)|risanament(?:o|i)) delle acque,['pollution']
bio[ -]?degradabil,['pollution']
bio-?rimedi,['pollution']
contaminazion(?:e|i) (?:dei|del) suol|suol(?:o|i) contaminat,['pollution']
controll(?:o|i) (?:dell inquinamento|degli inquinanti),['pollution']
rifiut(:o|i) (?:nuclear|radioattiv),['pollution']
ecotossicologi,['pollution']
depurazion(?:e|i) delle acque,['pollution']
inquina,['pollution']
qualita dell aria,['pollution']
tossicologi(?:a|e) ambiental,['pollution']
(?:analisi|valutazion(?:e|i)) (?:del|dei|di) cicl(?:o|i) (?:di )?vita,['resources']
effic[^ ]+ (?:delle |della )?risors,['resources']
esauriment(?:o|i) (?:delle |della |di )?risors(?:a|e) natural,['resources']
sfruttament(?:o|i) sostenibile,['resources']
fald(?:a|e) (?:freatic|acquifer|sotterrane),['resources']
picc(?:o|hi) (?:petrolifer|del petrolio),['resources']
scarsita (?:delle |di |della )?risors(?:a|e) natural,['resources']
terr(?:a|e) rar(?:a|e),['resources']
"[gestion(?:e|i) (?:dell |delle )?acqu(?:a|e), ambiente]",['resources']
"[ricicla, acciai]",['resources']
"[ricicla, rifiut]",['resources']
"[ricicla, material]",['resources']
"[ricicla, metall]",['resources']
"[ricicla, plastica]",['resources']
"[risors(?:a|e) acqua, ambiente]",['resources']
bio[ -]?carburante,['transport']
bio[ -]?diesel,['transport']
bio[ -]?metano,['transport']
carburant(?:e|i) alternativ,['transport']
carburant(?:e|i) sintetic,['transport']
ciclabil,['transport']
